!CSV A.01.01
!Agilent Technologies,E8361C,US49010277,A.09.20.08
!Agilent E8361C: A.09.20.08
!Date: Thursday, May 03, 2012 14:00:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(REAL),S22(IMAG)
19018275000,-0.50512588,0.2046717
19130750000,-0.51112151,0.2093479
19243225000,-0.50457364,0.20687455
19355700000,-0.5059852,0.20935217
19468175000,-0.51055413,0.21468207
19580650000,-0.50134134,0.21223725
19693125000,-0.5048719,0.2166542
19805600000,-0.50586677,0.22044705
19918075000,-0.49536422,0.21627519
20030550000,-0.4955892,0.21883807
20143025000,-0.49485576,0.21713158
20255500000,-0.49967971,0.22059657
20367975000,-0.493146,0.21780773
20480450000,-0.49527586,0.22093533
20592925000,-0.49721271,0.22485891
20705400000,-0.48826158,0.22089629
20817875000,-0.48921192,0.22249974
20930350000,-0.49158195,0.22545139
21042825000,-0.48495042,0.21955676
21155300000,-0.49137366,0.22245708
21267775000,-0.49301779,0.22678334
21380250000,-0.48825029,0.22528017
21492725000,-0.49354073,0.23169023
21605200000,-0.4887363,0.23463176
21717675000,-0.48413417,0.23223552
21830150000,-0.48776123,0.23680924
21942625000,-0.48113561,0.2359613
22055100000,-0.48196495,0.23484163
22167575000,-0.48520362,0.23749295
22280050000,-0.48091966,0.23547468
22392525000,-0.48296049,0.23712631
22505000000,-0.48525414,0.24103354
22617475000,-0.47935042,0.23995692
22729950000,-0.48065627,0.24271591
22842425000,-0.48170155,0.24621984
22954900000,-0.4753693,0.24424686
23067375000,-0.47738633,0.24786642
23179850000,-0.4766131,0.25030261
23292325000,-0.46904197,0.24643929
23404800000,-0.47210416,0.25056449
23517275000,-0.47157744,0.25141934
23629750000,-0.46681598,0.24732302
23742225000,-0.47166505,0.25272736
23854700000,-0.47004259,0.25478026
23967175000,-0.46567169,0.25411633
24079650000,-0.46302509,0.25621477
24192125000,-0.46565127,0.2596314
24304600000,-0.45966586,0.25867882
24417075000,-0.45767567,0.25815514
24529550000,-0.45873478,0.2585772
24642025000,-0.45522386,0.25337636
24754500000,-0.46092764,0.25622073
24866975000,-0.46434456,0.26050842
24979450000,-0.4578402,0.26085049
25091925000,-0.45956573,0.26682088
25204400000,-0.45824262,0.26902762
25316875000,-0.44876945,0.2659539
25429350000,-0.45141625,0.2685748
25541825000,-0.44995442,0.26910549
25654300000,-0.44926971,0.26900828
25766775000,-0.44243282,0.26319313
